Porto
90379359,90379613
90379359,90379614
90379359,90379615
90379359,90379616
90379359,90379617
90379359,90379618
90379359,90379619
90379359,90379759
90379359,90380150
90379359,90380816
90379359,90380817
90379359,111442215
90379359,111442216
90379359,111443920
90379359,122523494
90379359,122525235
90379359,122530856
90379359,128664377
90379359,311887110
90379359,311888763
90379359,311888898
90379359,312403297
90379359,311888898
90379359,314075061

Fafe
26130564,26130566
26130566,26130570
26130605,26130602
26130611,1337026607
26130626,26130622
26130626,1241362739
26130631,26130634
26130642,1207585759
275996467,275996468
275996467,275996466
275996470,275996469
275996470,275996472
275996472,275996473
275996473,275996474
275996474,275996476
275996476,275996477
275996477,275996478
288195744,288195747
288195747,288195748
288195748,288195749
288195749,288195750
288195752,288195762
288195753,288195755
288195760,288195744
288195764,288195765
288195768,1246640854
288195818,288195821
288195821,288195823
288195827,288195829
288201916,288201962
288201917,1238411874
288201931,288201938
288201932,288201974
288201934,1229010123
288201957,1242512348
288201959,1229010130
288201961,1052803062
288201963,1051988649
288201969,288201977
288201972,288201969
288201974,288201976
288201976,288201973
288201978,288201980
288201990,385747127
288201992,1207585741
288214823,275996465
367602529,367602526
367602531,367602529
367602533,367602531
367602535,367602533
367602548,367602544
367602556,367602552
367602560,367602556

Maia 
26058104,1214152893
26058104,26058105
26058105,1214153564
26058110,1214153031
26058120,26122992
26058125,26058112
26121319,26121320
26121320,26121321
26121321,26121322
26121322,26121323
26121324,26121325
26121327,26121328
26121329,26121330
26121330,26121331
26121331,26121332
26121332,26121333
26121333,264117357
26121335,1214153133
26121337,26121336
26121340,26121339
26122780,26122982
26122982,26122984
26122984,319309697
26122988,26122990
26122990,1214152893
26122992,26122994
26122996,26122998
26123000,26123002
26123002,26123004
264117343,264117345
264117345,264117346
264117346,264117348
264117349,1214153663
264117350,264117352
264117353,26121343
264117355,264117357
264118520,264117355
264119354,264119356
264119356,264119358
264119359,264119360
264119362,264119364
264119370,264119371
264119372,264119373
288193853,288193855
288193858,288193860
288193861,288193864
288193865,288193867
288193871,288193872
288193875,288193877
288193880,288193884
288193888,288193891
288193893,288193896
288193899,288193901



















